Nummer;Alter;Geschlecht;Abschluss;Ausbildung;Beruf;Feld;Berufserfahrung;Vorkenntnisse;lesen;erstellen;dekl. lesen;dekl. erstellen;Erfahrung PM;Erfahrung dekl.;Start ;Beginn;Reihenfolge 1;Reihenfolge 2;1.1a Zeit;1.1a Bewertung;1.2a Zeit;1.2a Bewertung;1.2b Zeit;1.2b Bewertung;1.3a Zeit;1.3a Bewertung;1.3b Zeit;1.3b Bewertung;1.3c Zeit;1.3c Bewertung;2.1a Zeit;2.1a Bewertung;2.2a Zeit;2.2a Bewertung;2.2b Zeit;2.2b Bewertung;2.3a Zeit;2.3a Bewertung;2.3b Zeit;2.3b Bewertung;2.3c Zeit;2.3c Bewertung;1. Fehlerbeschreibung;2. Fehlerbeschreibung;Angabenzettel verwendet;Anstrengung ohne;Anstrengung mit
15;33;w;Master;Education;Lehrerin;Sport & Wirtschaft;7;nein;;;;;;;m;1;231;132;45;5;65;2;50;0;80;8;25;3;90;2;35;4;65;2;50;2;185;0;180;1;50;2;"3b) Länge 3 angegeben; 2b) falsche Eingabe";"3a) kürzere vergessen; ""HE"", ""HF"", ""HG"" vergessen; 3b) 2 vergessen, 3 falsch";nein;75;75
16;66;w;Real / Mittelschule;Bankkauffrau;Rentnerin;Bankwesen;48;nein;;;;;;;o;1;213;321;70;5;120;2;80;2;120;0;180;0;100;1;40;4;70;2;30;2;90;7;70;6;44;1;"3a) alles falsch; 3b) alles falsch; musste darauf hingewiesen werden, dass ""DDC"" bereits gültig";3c) Weg falsch;nein;100;60
17;61;m;Promotion;Informatik;Professor (Uni);Prozessmanagement;28;ja;ja;ja;ja;ja;31;28;o;2;213;312;17;5;19;2;19;2;25;8;28;4;55;2;40;4;41;2;26;2;140;0;150;1;110;1;;"3a) zwar welche richtig, aber viele falsch; 3b) 3 richtig, 2 falsch; 3c) mit Hilfe gefunden";nein;140;60
18;64;m;Real / Mittelschule;Techniker;Techniker;Serveradministration;20;ja;ja;ja;nein;nein;0;;o;1;213;321;120;3;150;2;130;2;180;2;180;0;70;1;30;4;45;2;30;2;90;7;50;6;110;2;"1a) response falsch, da ""D"" nicht vorkommt; 3a) komplett Überblick verloren; ""EC"" und ""E"" richtig; 3b) zu viele falsch, z.B. ""DECB""; 3c) Ergebnis nicht minimal: ""DCDC""";;nein;102;40
19;49;m;Master;Elektrotechnik/ Informatik;Techniker;Server, Linux;24;ja;ja;nein;nein;nein;0;;m;2;132;123;60;1;35;2;17;2;130;0;180;2;23;1;20;4;13;2;10;2;50;7;40;6;90;1;"1a) Regel 4&5 falsch; 3a) nur ""E"" gefunden, ""CD"" falsch; 3b) alle richtig, 2 falsche zusätzlich; 3c) ""DCDC"" angegeben (-> nicht minimal)";3c) nicht überprüft, ob F nicht am Anfang sein muss;nein;188;76
20;32;w;Bachelor;Informatik;Unternehmensberaterin;Banken;5;ja;ja;nein;nein;nein;0;;m;2;231;123;60;5;90;2;45;2;60;2;180;3;30;1;23;4;26;2;24;2;60;7;30;6;120;2;"3a) nur leeres Wort und ""DC"" gefunden; 3b) ""DEDC"" vergessen; 3c) ""DCDC"" angegeben";;nein;76;5
21;29;m;Master;Jura;Jurist;Jura;2;nein;;;;;;;m;2;132;213;50;5;35;2;25;2;250;6;120;3;32;2;22;4;40;2;18;2;60;7;30;6;68;2;3a) alles richtig, nur zwei zu viel. 3b) alle richtig, eins falsch;;nein;80;20
22;69;m;Master;Lehramt Gymnasium;Rentner;Französisch, Englisch;40;nein;;;;;;;m;1;231;231;80;5;60;2;77;2;100;7;70;4;80;2;120;0;100;2;30;2;60;0;70;1;60;2;3a) leeres Wort vergessen;"3a) alles falsch 3b) nur ""FGHGF"" gefunden 1a) coExistence und chainResponse falsch";nein;155;118
23;30;m;Master;Chemie & Materialwissenschaften;wiss. Mitarbeiter;Chemie & Materialwissenschaften;3;ja;ja;ja;nein;nein;0,1;;o;1;312;231;55;5;60;2;23;2;240;2;80;0;40;2;17;4;27;2;70;2;150;7;38;6;180;1;"3a) alles mit ""E"" vergessen; 3b) alles falsch";"3a) Herangehensweise falsch; 3c) Herangehensweise falsch";nein;110;10
24;36;m;Promotion;Informatik;wiss. Mitarbeiter;Prozessmanagement, NLP;9;ja;ja;ja;ja;ja;9;7;m;1;132;312;30;5;26;2;20;2;35;8;35;4;90;2;55;2;48;2;54;0;240;5;220;4;30;2;;"3a) ""II"" und ""HH"" vergessen; Rest richtig; 3b) ""FGHG"" und ""FGGH"" vergessen; 1a) chainPrecedence falsch; 2b) nicht erkannt, dass nicht mehr geht";nein;155;20
25;64;m;Master;Lehramt Realschule;Ministerialbeauftragter;Schulaufsicht;7;nein;;;;;;;m;2;312;213;45;5;30;2;60;0;56;1;250;3;33;1;25;4;70;2;35;2;45;7;60;4;110;1;"3a) nur ""DC"" gefunden; 3b) alle richtig, ein falsches zusätzlich; 3c) ""DCD"" angegeben; 2b) mit Hilfe";"3b) falsche Funktion benutzt (2. Funktion); 3c) nicht minimale gefunden";ja;153;76
26;24;w;Abitur / Fachabitur;Jura;Studentin;Jura;;ja;ja;nein;nein;nein;0;;m;1;312;312;25;5;20;2;30;2;60;8;15;4;60;2;30;2;30;2;30;2;100;0;60;3;60;2;;"3a) nur ""II"" richtig, ""GF"" falsch; 3b) ""FGHG"", ""FGFH"" und ""FGGH"" vergessen; 1a) chainResponse nur 1 ""E"" berücksichtigt";nein;135;30
